work,source_type,source_ref,place_text,normalized_place,place_type,city,region,country,confidence,context
La vie mode d'emploi,pdf,99,Devon,Devon,region,,Devon,United Kingdom,0.800,The region where a villa was rented for vacation.
La vie mode d'emploi,pdf,99,Sticklehaven,Sticklehaven,other,Sticklehaven,Devon,United Kingdom,0.800,Mentioned as the location of a villa where Ewa and her son stayed.
La vie mode d'emploi,pdf,99,Buckingham Palace,Buckingham Palace,landmark,London,,United Kingdom,0.950,The location of a royal reception event occurring in the narrative.
La vie mode d'emploi,pdf,100,Chaumont-Porcien,Chaumont-Porcien,other,,,France,0.900,Mentioned as the location where Elizabeth de Beaumont was reportedly murdered.
La vie mode d'emploi,pdf,100,Arles,Arles,city,Arles,Provence-Alpes-Côte d'Azur,France,0.950,Mentioned as a place where the protagonist's wife had talked about.
La vie mode d'emploi,pdf,100,Avignon,Avignon,city,Avignon,Provence-Alpes-Côte d'Azur,France,0.950,Mentioned alongside Arles as a place related to the protagonist's wife.
La vie mode d'emploi,pdf,100,Londres,London,city,London,England,United Kingdom,0.900,The protagonist states he was in London when he heard about the tragedies.
La vie mode d'emploi,pdf,100,Paddington,Paddington,district,London,England,United Kingdom,0.850,The location where Véronique Lambert arrived to take the train.
La vie mode d'emploi,pdf,101,France,France,country,,,France,1.000,The text mentions someone being raised in the south of France.
La vie mode d'emploi,pdf,101,Covent Garden,Covent Garden,district,London,,United Kingdom,0.900,A character attended an opera at Covent Garden.
La vie mode d'emploi,pdf,101,Rostov,Rostov,city,Rostov,,Russia,0.800,Mentioned as the birthplace of a character.
La vie mode d'emploi,pdf,101,Lédignan,Lédignan,city,Lédignan,Gard,France,0.800,A character was raised in Lédignan.
La vie mode d'emploi,pdf,102,France,France,country,,,France,1.000,The narrative refers to surgeons and the location of a search in France.
La vie mode d'emploi,pdf,102,Torquay,Torquay,city,Torquay,Devon,United Kingdom,0.900,Elizabeth took a boat from Torquay to the Channel Islands.
La vie mode d'emploi,pdf,102,Gard,Gard,other,,Occitanie,France,0.800,Mentioned as the department where Elizabeth was raised.
La vie mode d'emploi,pdf,102,îles anglo-normandes,Îles anglo-normandes,other,,,France,0.850,She took a boat for the Anglo-Norman Islands.
La vie mode d'emploi,pdf,102,Lédignan,Lédignan,other,Lédignan,Occitanie,France,0.800,Mentioned regarding the burial of a character's belle-mère.
La vie mode d'emploi,pdf,103,Lédignan,Ledignan,city,Ledignan,Occitanie,France,0.900,Mentioned as a location where surveillance occurred.
La vie mode d'emploi,pdf,103,Orange,Orange,city,Orange,Provence-Alpes-Côte d'Azur,France,0.900,An address given by Elizabeth at an hotel.
La vie mode d'emploi,pdf,103,Valence,Valence,city,Valence,Auvergne-Rhône-Alpes,France,0.900,Where Elizabeth married.
La vie mode d'emploi,pdf,104,Cholet,Cholet,city,Cholet,Pays de la Loire,France,0.900,mention of a street in Cholet
La vie mode d'emploi,pdf,104,Angleterre,Angleterre,country,,,United Kingdom,0.950,the narrator used a perfume that year while in England
La vie mode d'emploi,pdf,104,Brive,Brive,city,Brive,,France,0.900,scene in the waiting room at the Brive train station
La vie mode d'emploi,pdf,104,Cévennes,Cévennes,region,,Cévennes,France,0.850,the couple lived in the Cévennes
La vie mode d'emploi,pdf,104,Chaumont-Porcien,Chaumont-Porcien,city,Chaumont-Porcien,Grand Est,France,0.900,the narrator planned to live in Chaumont-Porcien
La vie mode d'emploi,pdf,104,Ardennes,Ardennes,region,,Ardennes,France,0.900,the narrator mentions living in the Ardennes
La vie mode d'emploi,pdf,105,Rethel,Rethel,city,Rethel,,France,0.950,Elizabeth writes from the maternité de Rethel.
La vie mode d'emploi,pdf,105,Sainte Russie,Sainte Russie,region,,,Russia,0.850,The family Orlov was scattered across the four corners of the Sainte Russie.
La vie mode d'emploi,pdf,105,Perse,Persia,country,,,Iran,0.850,Grandfather appointed ambassador in Perse.
La vie mode d'emploi,pdf,105,Krasnodar,Krasnodar,city,Krasnodar,,Russia,0.950,Colonel Orlov commanded the famous battalion of Lanciers de Krasnodar.
La vie mode d'emploi,pdf,105,Crimée,Crimea,region,,,Ukraine,0.900,They managed to reach the Crimée occupied by Denikine's corps.
La vie mode d'emploi,pdf,105,Roumanie,Romania,country,,,Romania,0.950,"From Crimea, they traveled to Roumanie."
La vie mode d'emploi,pdf,105,Autriche,Austria,country,,,Austria,0.950,"From Romania, they moved to Autriche."
La vie mode d'emploi,pdf,106,"Beni, Bolivia","Beni, Bolivia",region,,Beni,Bolivia,0.950,"A postcard mentioning Beni, Bolivia, showing indigenous women."
La vie mode d'emploi,pdf,106,Petrovski,Petrovski,landmark,,,Russia,0.850,Referring to the palace Petrovski where Napoleon I allegedly stayed.
La vie mode d'emploi,pdf,107,Niçoise,Nice,city,Nice,Provence-Alpes-Côte d'Azur,France,0.900,Ratatouille niçoise
La vie mode d'emploi,pdf,107,Bordeaux,Bordeaux,city,Bordeaux,Nouvelle-Aquitaine,France,0.900,Vins de Bordeaux rouge
La vie mode d'emploi,pdf,107,Saint-Émilion,Saint-Émilion,city,Saint-Émilion,Nouvelle-Aquitaine,France,0.900,Saint-Émilion: Château-La-Tour-Beau-Site
La vie mode d'emploi,pdf,107,Côtes-de-Provence,Côtes de Provence,region,,Provence-Alpes-Côte d'Azur,France,0.800,"Côtes-de-Provence: Bandol, Cassis"
La vie mode d'emploi,pdf,107,Côtes-du-Rhône,Côtes du Rhône,region,,,France,0.800,"Côtes-du-Rhône: Côte-Rôtie, Crozes-Hermitage"
La vie mode d'emploi,pdf,108,Dorset,Dorset,region,,Dorset,United Kingdom,0.900,Mentioned among various wines.
La vie mode d'emploi,pdf,108,Rhin,Rhin,river,,,France,0.800,Mentioned as a source of wine.
La vie mode d'emploi,pdf,108,Moselle,Moselle,river,,,France,0.800,Mentioned as a source of wine.
La vie mode d'emploi,pdf,108,Champagne,Champagne,region,,Grand Est,France,0.900,Mentioned in the context of beverages.
La vie mode d'emploi,pdf,108,Marolles-les-Braults,Marolles-les-Braults,city,Marolles-les-Braults,Sarthe,France,0.950,Described with demographic details.
La vie mode d'emploi,pdf,108,Arras,Arras,city,Arras,Hauts-de-France,France,0.950,Mentioned in a historical context.
La vie mode d'emploi,pdf,108,Fiume,Rijeka,city,Rijeka,,Croatia,0.900,Mentioned in a historical context.
La vie mode d'emploi,pdf,108,Beyrouth,Beirut,city,Beirut,,Lebanon,0.950,Mentioned near a monument.
La vie mode d'emploi,pdf,109,Péronne,Peronne,city,Peronne,Hauts-de-France,France,0.900,Mentioned as the location of the Grand Quartier Général des Forces Alliées.
La vie mode d'emploi,pdf,109,Gatseau,Gatseau,other,,,France,0.700,Location where Olivier Gratiolet collected shells.
La vie mode d'emploi,pdf,109,l’île d’Oléron,Ile d'Oleron,region,,Nouvelle-Aquitaine,France,0.800,Mentioned as the location associated with collecting shells.
La vie mode d'emploi,pdf,110,Rome,rome,city,Rome,Lazio,Italy,0.950,Lucero who recently won the grand prize of Rome.
La vie mode d'emploi,pdf,110,Châteauneuf,chateauneuf,building,,,,0.700,Félicien Michard who serves as a frotteur of parquet at the comte de Châteauneuf.
La vie mode d'emploi,pdf,111,Amérique du Sud,amerique du sud,region,,,South America,0.900,referred to in the context of the poison used by Indian hunters
La vie mode d'emploi,pdf,111,Beaugency,beaugency,city,Beaugency,,France,0.950,mention of a historical figure related to Beaugency
La vie mode d'emploi,pdf,111,France-Soir,france-soir,other,,,France,0.800,cited as a source for information on hepatitis epidemics
La vie mode d'emploi,pdf,113,Paris,Paris,city,Paris,Île-de-France,France,0.990,The text mentions a book delivery man who traverses Paris on a tricycle.
La vie mode d'emploi,pdf,113,Jura,Jura,region,,Jura,France,0.850,The former concierge and her husband retired in the Jura.
La vie mode d'emploi,pdf,113,Alger,Alger,city,Algiers,,Algeria,0.950,The husband of Madame Nochère died in Alger.
La vie mode d'emploi,pdf,113,Oran,Oran,city,Oran,,Algeria,0.950,Mention of a soldier's office in Oran.
La vie mode d'emploi,pdf,113,Constantine,Constantine,city,Constantine,,Algeria,0.950,A soldier died in conditions similar to those of Nochère in Constantine.
La vie mode d'emploi,pdf,114,la Croisette,la croisette,street,Cannes,Provence-Alpes-Côte d'Azur,France,0.900,The text references the Croisette in relation to a past event at Cannes.
La vie mode d'emploi,pdf,114,Cannes,cannes,city,Cannes,Provence-Alpes-Côte d'Azur,France,1.000,The text refers to Cannes in a historical context regarding the film industry.
La vie mode d'emploi,pdf,116,Dublin,Dublin,city,Dublin,Leinster,Ireland,0.900,Herman Fugger carries a newspaper from Dublin.
La vie mode d'emploi,pdf,117,San Francisco,San Francisco,city,San Francisco,California,United States,0.950,Mentioned as the origin of a club with a pocket of matches.
La vie mode d'emploi,pdf,117,les Andes,the Andes,other,,,South America,0.850,Referenced in relation to a photo of the Louvet family during a bear hunt.
La vie mode d'emploi,pdf,117,Macondo,Macondo,other,,Colombia,,0.800,Mentioned as a region where the Louvet family traveled.
La vie mode d'emploi,pdf,118,Montmartre,Montmartre,district,Paris,Île-de-France,France,0.950,Ils étaient allés à Montmartre voir le feu d'artifice.
La vie mode d'emploi,pdf,118,Pigalle,Pigalle,district,Paris,Île-de-France,France,0.950,"Ils étaient revenus à pied par Pigalle, Clichy et les Batignolles."
La vie mode d'emploi,pdf,118,Clichy,Clichy,city,Clichy,Île-de-France,France,0.950,"Ils étaient revenus à pied par Pigalle, Clichy et les Batignolles."
La vie mode d'emploi,pdf,118,Les Batignolles,Les Batignolles,district,Paris,Île-de-France,France,0.950,"Ils étaient revenus à pied par Pigalle, Clichy et les Batignolles."
La vie mode d'emploi,pdf,118,France,France,country,,,France,1.000,Il ne lui serait pas possible de venir le lendemain prendre sa leçon quotidienne d’aquarelle en raison de la fête nationale française.
La vie mode d'emploi,pdf,119,Théâtre des Champs-Élysées,theatre des champs-elysees,landmark,Paris,Île-de-France,France,0.900,Monsieur Jérôme attended the creation of L’Enfant et les Sortilèges at the Théâtre des Champs-Élysées.
La vie mode d'emploi,pdf,119,Paris,paris,city,Paris,Île-de-France,France,0.950,The context of the creation of L’Enfant et les Sortilèges is linked to Paris.
La vie mode d'emploi,pdf,120,Hôtel de l’Aveyron,hotel de l'aveyron,building,,,,0.700,Léon Marcia lived in a modest hotel called Hôtel de l’Aveyron.
La vie mode d'emploi,pdf,120,Pfisterhof d’Ascona,pfisterhof ascona,building,Ascona,Tessin,Switzerland,0.900,He was engaged as a bellboy in the luxurious Pfisterhof in Ascona.
La vie mode d'emploi,pdf,120,Tessin,tessin,region,,,Switzerland,0.800,Ascona is located in the Tessin region of Switzerland.
La vie mode d'emploi,pdf,121,Lugano,Lugano,city,Lugano,Ticino,Switzerland,0.900,Léon Marcia found a book in a second-hand store in Lugano.
La vie mode d'emploi,pdf,121,Londres,London,city,London,England,United Kingdom,0.950,Marcia went to London to enroll at the Courtauld Institute.
La vie mode d'emploi,pdf,121,Washington,Washington,city,Washington,District of Columbia,United States,0.900,Marcia also lived in Washington.
La vie mode d'emploi,pdf,121,New York,New York,city,New York,New York,United States,0.900,He lived in New York.
La vie mode d'emploi,pdf,121,Paris,Paris,city,Paris,Île-de-France,France,0.950,Marcia and his wife decided to live in Paris.
La vie mode d'emploi,pdf,121,France,France,country,,,France,1.000,They decided to go live in France.
La vie mode d'emploi,pdf,121,Pologne,Poland,country,,,Poland,0.800,Marcia had a predilection for stories of Poland.
La vie mode d'emploi,pdf,122,Invalides,invalides,landmark,Paris,Île-de-France,France,0.900,The Invalides is mentioned in the context of displaying Napoleon's embalmed face.
La vie mode d'emploi,pdf,122,Afrique,africa,country,,,Africa,0.800,Mentioned in relation to the grand-uncle's service.
La vie mode d'emploi,pdf,123,États-Unis,etats-unis,country,,,United States,0.900,Mention of a boxer who met a character during a tour in the United States.
La vie mode d'emploi,pdf,123,New York,new york,city,New York,,United States,0.900,Reference to Carson College located in New York.
La vie mode d'emploi,pdf,123,Cincinnati,cincinnati,city,Cincinnati,Ohio,United States,0.900,Mention of where Véra Orlova was hired to sing.
La vie mode d'emploi,pdf,123,Ohio,ohio,region,,Ohio,United States,0.900,Mention of Ohio in reference to Cincinnati.
La vie mode d'emploi,pdf,123,Perse,perse,country,,,Persia,0.700,Reference to 'l’image de la Perse en Europe'.
La vie mode d'emploi,pdf,123,Pigalle,pigalle,district,,,France,0.800,Mention of 'Meurtres à Pigalle' suggests a location in France.
La vie mode d'emploi,pdf,123,Ankara,ankara,city,Ankara,,Turkey,0.900,Mention of 'Nuit chaude à Ankara'.
La vie mode d'emploi,pdf,123,Saratoga,saratoga,city,Saratoga,,United States,0.900,Reference to 'Le Septième Crack de Saratoga'.
La vie mode d'emploi,pdf,125,Terre de Feu,Terre de Feu,region,,,Chile,0.900,Mentioned in relation to a maritime disaster.
La vie mode d'emploi,pdf,125,Atlantique Sud,Atlantique Sud,other,,,,0.800,Referencing the area where the shipwreck occurred.
La vie mode d'emploi,pdf,125,mer de Weddell,mer de Weddell,other,,,,0.800,Noted for its connection to maritime search and rescue.
La vie mode d'emploi,pdf,125,cap Horn,cape Horn,landmark,,,Chile,0.850,Location mentioned during the search for the shipwreck.
La vie mode d'emploi,pdf,125,baie de Nassau,baie de Nassau,natural_feature,,,,0.700,Part of the search area for the Silver Glen of Alva.
La vie mode d'emploi,pdf,125,Tristan da Cunha,Tristan da Cunha,other,,,United Kingdom,0.900,Considered as a potential location for Anne's radio tower.
La vie mode d'emploi,pdf,125,îles du Prince-Édouard,îles du Prince-Édouard,other,,,Canada,0.700,Mentioned in the context of Anne's plans for her tower.
La vie mode d'emploi,pdf,125,Madagascar,Madagascar,country,,,Madagascar,0.950,Mentioned in relation to the geographic context of the islands Anne considered.
La vie mode d'emploi,pdf,126,Alger,Alger,city,Alger,,Algeria,0.900,An object from this city is mentioned in the context of a gong used in a historical prison.
La vie mode d'emploi,pdf,126,Extrême-Orient,Extreme Orient,region,,,,0.600,Refers to a geographical region where the gong does not originate from.
La vie mode d'emploi,pdf,126,bagne barbaresque,bagne barbaresque,other,,,,0.500,"The context of a notorious place where prisoners, including Cervantes, were held."
La vie mode d'emploi,pdf,127,Tabarka,Tabarka,other,,,Tunisia,0.900,Mentioned as the location for a festival where Svend Grundtvig's oratorio will be promoted.
La vie mode d'emploi,pdf,127,New York,New York,city,New York,New York,United States,0.950,"Mentioned as the city where Sam Horton performed with the band, the Wasps."
La vie mode d'emploi,pdf,127,Maroc,Morocco,country,,,Morocco,0.850,Sam Horton went to Morocco for surgical and endocrinological treatments.
La vie mode d'emploi,pdf,129,Université de Madrid,universite de madrid,building,Madrid,,Spain,0.900,Mentioned as the institution where the student in the text studies botany.
La vie mode d'emploi,pdf,129,Suisse,suisse,country,,,Switzerland,0.950,Referenced in context of a statistic about marriages.
La vie mode d'emploi,pdf,130,boulevard Saint-Germain,Boulevard Saint-Germain,street,Paris,Île-de-France,France,0.900,"The location of an incident on October 7, 1943."
La vie mode d'emploi,pdf,130,École du Génie civil,École du Génie Civil,building,,,France,0.700,Paul Hébert was supposed to be there preparing for an exam.
La vie mode d'emploi,pdf,130,avenue de Wagram,Avenue de Wagram,street,Paris,Île-de-France,France,0.800,The address mentioned where Paul Hébert was expected to be.
La vie mode d'emploi,pdf,130,rue de Madrid,Rue de Madrid,street,Paris,Île-de-France,France,0.800,The location of Paul Hébert's grandfather's pharmacy.
La vie mode d'emploi,pdf,130,Quartier latin,Quartier Latin,district,Paris,Île-de-France,France,0.900,Mentioned as the area where Paul Hébert sold illicit goods.
La vie mode d'emploi,pdf,130,Champs-Élysées,Champs-Élysées,street,Paris,Île-de-France,France,0.900,Where Paul Hébert planned to spend his earnings.
La vie mode d'emploi,pdf,130,Gibert,Gibert,building,Paris,Île-de-France,France,0.700,A bookstore mentioned in relation to Paul Hébert's inquiry.
La vie mode d'emploi,pdf,131,Havre,Le Havre,city,Le Havre,Normandy,France,0.950,A plan of the center of Le Havre was detailed.
La vie mode d'emploi,pdf,131,Jutland,Jutland,region,,,Denmark,0.900,A fragment of the map of the Jutland was mentioned.
La vie mode d'emploi,pdf,131,Dunkerque,Dunkerque,city,Dunkerque,Hauts-de-France,France,0.900,Similar operations began in the region of Dunkerque.
La vie mode d'emploi,pdf,131,Goderville,Goderville,district,,Normandy,France,0.850,Three bases were to be constructed between Goderville.
La vie mode d'emploi,pdf,131,Saint-Romain-de-Colbosc,Saint-Romain-de-Colbosc,city,Saint-Romain-de-Colbosc,Normandy,France,0.850,The construction was to take place between Goderville and Saint-Romain-de-Colbosc.
La vie mode d'emploi,pdf,131,Aigues-Mortes,Aigues-Mortes,city,Aigues-Mortes,Occitanie,France,0.800,"The owner of the weapon was mentioned as a certain Monsieur Gressin, from Aigues-Mortes."
La vie mode d'emploi,pdf,131,Nouméa,Nouméa,city,Nouméa,South Province,New Caledonia,0.800,The shooter was said to be located in a house owned by a colonial official in Nouméa.
La vie mode d'emploi,pdf,131,Paris,Paris,city,Paris,Île-de-France,France,0.950,Paul Hébert's father was an inspector in Paris.
La vie mode d'emploi,pdf,132,Bruxelles,Brussels,city,Brussels,Brussels-Capital Region,Belgium,0.900,Mentioned as the location not related to a fictional tailor.
La vie mode d'emploi,pdf,132,Angleterre,England,country,,,England,0.800,Referenced in the context of Joseph Hébert possibly escaping there.
La vie mode d'emploi,pdf,132,Buchenwald,Buchenwald,other,,,Germany,0.900,Mentioned as a concentration camp where the son was sent.
La vie mode d'emploi,pdf,134,Raincy,Raincy,city,Raincy,Île-de-France,France,0.900,A prince Russian emigré who lived rather poorly in Raincy.
La vie mode d'emploi,pdf,135,Fort-Dauphin,Fort Dauphin,city,Fort-Dauphin,Anosy,Madagascar,0.950,Mentioned as a location with a specific date.
La vie mode d'emploi,pdf,135,Madagascar,Madagascar,country,,,Madagascar,1.000,Mentioned as the country of Fort-Dauphin.
La vie mode d'emploi,pdf,136,PORT-SAÏD (ÉGYPTE),Port-Said,city,Port-Said,,Egypt,0.950,Mentioned as a location with a specific date.
La vie mode d'emploi,pdf,138,la rue Lepic,Rue Lepic,street,Paris,Île-de-France,France,0.900,Mentioned as the location of a previous occupant's library.
La vie mode d'emploi,pdf,138,Wittenberg,Wittenberg,city,Wittenberg,Saxony-Anhalt,Germany,0.950,Referenced as the place where a Lutheran choral was published in 1524.
La vie mode d'emploi,pdf,138,France,France,country,,,France,1.000,The country representation in a map.
La vie mode d'emploi,pdf,138,la Corse,Corse,region,,Corse,France,0.900,Mentioned in the context of a map of the surroundings.
La vie mode d'emploi,pdf,139,Guadeloupe,Guadeloupe,country,,,France,0.900,Mentioned among the colonies.
La vie mode d'emploi,pdf,139,Martinique,Martinique,country,,,France,0.900,Mentioned among the colonies.
La vie mode d'emploi,pdf,139,Algérie,Algeria,country,,,Algeria,0.900,Mentioned among the colonies.
La vie mode d'emploi,pdf,139,Sénégal,Senegal,country,,,Senegal,0.900,Mentioned among the colonies.
La vie mode d'emploi,pdf,139,Nouvelle-Calédonie,New Caledonia,country,,,France,0.900,Mentioned among the colonies.
La vie mode d'emploi,pdf,139,Cochinchine,Cochinchina,region,,,Vietnam,0.700,Mentioned among the colonies.
La vie mode d'emploi,pdf,139,Réunion,Réunion,country,,,France,0.900,Mentioned among the colonies.
La vie mode d'emploi,pdf,139,Marseille,Marseille,city,Marseille,Provence-Alpes-Côte d'Azur,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Dijon,Dijon,city,Dijon,Bourgogne-Franche-Comté,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Rouen,Rouen,city,Rouen,Normandie,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Ajaccio,Ajaccio,city,Ajaccio,Corse,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Grenoble,Grenoble,city,Grenoble,Auvergne-Rhône-Alpes,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Bordeaux,Bordeaux,city,Bordeaux,Nouvelle-Aquitaine,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Pau,Pau,city,Pau,Nouvelle-Aquitaine,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Albi,Albi,city,Albi,Occitanie,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Chartres,Chartres,city,Chartres,Centre-Val de Loire,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Besançon,Besançon,city,Besançon,Bourgogne-Franche-Comté,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Paris,Paris,city,Paris,Île-de-France,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Mâcon,Mâcon,city,Mâcon,Bourgogne-Franche-Comté,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Dunkerque,Dunkerque,city,Dunkerque,Hauts-de-France,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Montpellier,Montpellier,city,Montpellier,Occitanie,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Bourges,Bourges,city,Bourges,Centre-Val de Loire,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Caen,Caen,city,Caen,Normandie,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Agen,Agen,city,Agen,Nouvelle-Aquitaine,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Clermont-Ferrand,Clermont-Ferrand,city,Clermont-Ferrand,Auvergne-Rhône-Alpes,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,La Ferté-Milon,La Ferté-Milon,city,La Ferté-Milon,Île-de-France,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Lyon,Lyon,city,Lyon,Auvergne-Rhône-Alpes,France,0.950,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Nancy,Nancy,city,Nancy,Grand Est,France,0.900,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Laon,Laon,city,Laon,Hauts-de-France,France,0.900,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Lille,Lille,city,Lille,Hauts-de-France,France,0.900,Mentioned as one of twenty cities.
La vie mode d'emploi,pdf,139,Rennes,Rennes,city,Rennes,Bretagne,France,0.900,Mentioned among other cities.
La vie mode d'emploi,pdf,139,Rochefort,Rochefort,city,Rochefort,Nouvelle-Aquitaine,France,0.900,Mentioned among costumes.
La vie mode d'emploi,pdf,139,La Rochelle,La Rochelle,city,La Rochelle,Nouvelle-Aquitaine,France,0.900,Mentioned among costumes.
La vie mode d'emploi,pdf,139,Annecy,Annecy,city,Annecy,Auvergne-Rhône-Alpes,France,0.900,Mentioned among costumes.
La vie mode d'emploi,pdf,139,Château-dun,Château-dun,city,Château-dun,Normandie,France,0.900,Mentioned in historical context.
La vie mode d'emploi,pdf,141,Paris,Paris,city,Paris,Île-de-France,France,0.900,Monsieur Jérôme lived in a room that was rented out to friends from the provinces during their stay in Paris.
La vie mode d'emploi,pdf,141,Neuilly,Neuilly,city,Neuilly,Île-de-France,France,0.800,He taught at Lycée Pasteur in Neuilly.
La vie mode d'emploi,pdf,141,Lahore,Lahore,city,Lahore,Punjab,Pakistan,0.850,He was appointed cultural attaché in Lahore and left Paris.
La vie mode d'emploi,pdf,141,Panjab,Punjab,region,,,India/Pakistan,0.700,He gave a conference on caste systems in Panjab and their socio-cultural consequences.
La vie mode d'emploi,pdf,141,Simon-Crubellier,Rue Simon Crubellier,street,Paris,Île-de-France,France,0.750,He settled down on Rue Simon-Crubellier in October 1924.
La vie mode d'emploi,pdf,142,Institut d’histoire religieuse,Institut d'Histoire Religieuse,building,,,,0.800,Mention of a place where the character worked.
La vie mode d'emploi,pdf,142,Sorbonne,Sorbonne,building,Paris,Île-de-France,France,0.900,Monsieur Jérôme burned his manuscript in the courtyard of the Sorbonne.
La vie mode d'emploi,pdf,142,Espagne,Espagne,country,,,Spain,0.950,Refers to the country associated with the history of the Church mentioned.
La vie mode d'emploi,pdf,143,Bam-berg,bamberg,city,Bamberg,Bavaria,Germany,0.900,Reference to a globe executed in Bam-berg by Johannes Schœner.
La vie mode d'emploi,pdf,143,Bibliothèque de Nuremberg,nuremberg,landmark,Nuremberg,Bavaria,Germany,0.900,Mention of the library in which the globe was conserved.
La vie mode d'emploi,pdf,144,Kyoto,Kyoto,city,Kyoto,Kinki,Japan,0.900,A horticulturist's catalog features the gardens of the temple Suzaku in Kyoto.
La vie mode d'emploi,pdf,145,Champigny,Champigny-sur-Marne,city,Champigny-sur-Marne,Île-de-France,France,0.900,Announcement of a world premiere at the church Saint-Saturnin of Champigny.
La vie mode d'emploi,pdf,145,Michigan State University,Michigan State University,building,East Lansing,Michigan,United States,0.900,Mention of the New Brass Ensemble of Michigan State University.
La vie mode d'emploi,pdf,145,East Lansing,East Lansing,city,East Lansing,Michigan,United States,0.900,Location of Michigan State University.
La vie mode d'emploi,pdf,145,Vincennes,Vincennes,city,Vincennes,Île-de-France,France,0.800,Reference to routes from the gates of Vincennes.
La vie mode d'emploi,pdf,145,Picpus,Picpus,district,Paris,Île-de-France,France,0.700,Mention of itineraries from the district of Picpus.
La vie mode d'emploi,pdf,145,Bercy,Bercy,district,Paris,Île-de-France,France,0.700,Reference to routes leading from Bercy.
La vie mode d'emploi,pdf,146,Damas,Damascus,city,Damascus,,Syria,0.900,Madame Albin et son mari ont vécu à Damas où son mari avait trouvé du travail.
La vie mode d'emploi,pdf,146,France,France,country,,,France,1.000,Leur but était de gagner assez d'argent pour pouvoir revenir en France.
La vie mode d'emploi,pdf,146,Juvisy,Juvisy-sur-Orge,city,Juvisy-sur-Orge,Île-de-France,France,0.950,Elle ramena le corps de son époux et le fit inhumer à Juvisy.
La vie mode d'emploi,pdf,146,Gare d'Orsay,Gare d'Orsay,landmark,Paris,Île-de-France,France,0.850,"Elle prend le 84 à Courcelles, descend à la Gare d’Orsay."
La vie mode d'emploi,pdf,146,Rue Simon-Crubellier,Rue Simon-Crubellier,street,,,France,0.800,Madame Albin est revenue vivre rue Simon-Crubellier après en être restée éloignée.
La vie mode d'emploi,pdf,147,Valène,Valene,other,,,,0.700,Reference to a place where objects are displayed.
La vie mode d'emploi,pdf,147,Syrie,Syria,country,,,Syria,0.900,Referencing the provenance of an item.
La vie mode d'emploi,pdf,147,Bornéo,Borneo,region,,,Indonesia,0.800,Reference to a place where a combat takes place.
La vie mode d'emploi,pdf,147,Asie,Asia,region,,,,0.600,Mention of a geographic area in general.
La vie mode d'emploi,pdf,147,Marocaine,Morocco,country,,,Morocco,0.900,Describing a young Moroccan woman.
La vie mode d'emploi,pdf,147,grec,Greece,country,,,Greece,0.900,Describing a Greek peasant.
La vie mode d'emploi,pdf,147,la mosquée des’Umayyades,Umayyad Mosque,landmark,,Damascus,Syria,0.850,Place where Saladin is buried.
La vie mode d'emploi,pdf,147,Saladin,Saladin,other,,,,0.500,Historical reference related to a landmark.
La vie mode d'emploi,pdf,148,Paris,Paris,city,Paris,Île-de-France,France,0.950,Mentioned as the location of a restaurant opened by Monsieur Hardy.
La vie mode d'emploi,pdf,148,Marseille,Marseille,city,Marseille,Provence-Alpes-Côte d'Azur,France,0.950,"Reference to Monsieur Hardy, a marseillais (from Marseille)."
La vie mode d'emploi,pdf,148,Rue de Richelieu,Rue de Richelieu,street,Paris,Île-de-France,France,0.900,Cited as the address of a restaurant.
La vie mode d'emploi,pdf,149,Dordogne,Dordogne,region,,Nouvelle-Aquitaine,France,0.900,Mentioned in the context of Hutting's château.
La vie mode d'emploi,pdf,149,Orléans,Orleans,city,Orleans,Centre-Val de Loire,France,0.900,Hutting mentions he was tired of the hangar at the porte d'Orléans.
